Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
TS-13,ТС-13,Low,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных в ОС macOS,"1. Открыт сайт ""Название"" в ОС macOS
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя при использовании ОС macOS",
Тестирование безопасности,,,,,,,,,
TS-14,ТС-14,High,Форма авторизации,Блокировка аккаунта после 3 (трех) неудачных попыток авторизации существующего пользователя с использованием невалидных данных.,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""невалидное значение""    
2. Поле ""Пароль"": ""невалидное значение"" 
   ","1. Ввести невалидное значение из тестовых данных в поле ""Логин""; 
2. Ввести невалидное значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""                                                                                       
4. Ввести невалидное значение из тестовых данных в поле ""Логин"";  
5. Ввести невалидное значение из тестовых данных в поле ""Пароль"";
6. Нажать кнопку ""Sign in"";                
7. Ввести невалидное значение из тестовых данных в поле ""Логин"";                             
8. Ввести невалидное значение из тестовых данных в поле ""Пароль"";                                           
9. Нажать кнопку ""Sign in"".","Отображается сообщение ""Аккаунт заблокирован"".",
TS-15,ТС-15,High,Форма авторизации,Неуспешная авторизация после смены пароля со старым паролем.,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Установлен новый пароль.","1. Поле ""Логин"": ""валидное значение""
2. Поле ""Пароль"": ""валидное значение старого пароля""
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","Отображается сообщение об ошибке ""Введены невалидные данные"". Пользователь не авторизован в систему",
TS-16,ТС-16,High,Форма авторизации,Неуспешная авторизация при вводе SQL-инъекций,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести в поле ""Логин"" SQL запрос (‘ or ‘a’ = ‘a’; DROP TABLE user; )","Отображается сообщение об ошибке ""Введены невалидные данные"". ",
Тестирование локализации,,,,,,,,,
TS-17,ТС-17,Low,Форма авторизации,Поля ввода данных указаны на языке региона.,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Поле ""Логин"" имеет наименование на русском языке;
2. Поле ""Пароль"" имеет наименование на русском языке;
3. Кнопка ""Sign in"" имеет наименование на английском языке.",
Тестирование удобства использования,,,,,,,,,
TS-18,ТС-06,Low,Форма авторизации,Установка курсора на первом поле ввода данных ,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,1. Навести курсор на первое поле ввода данных,1. Курсор отображен на первом поле ввода данных,
TS-19,ТС-19,Low,Форма авторизации,Отображение понятных сообщений об ошибке при вводе невалидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""невалидное значение""    
2. Поле ""Пароль"": ""невалидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Над полем ""Логин"" появляется сообщение об ошибке ""Введены невалидные данные"";
2. Над полем ""Пароль"" появляется сообщение об ошибке ""Введены невалидные данные"".",
TS-20,ТС-20,Low,Форма авторизации,Поля ввода данных имеют знак об обязательности заполнения,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на поле ""Логин""; 
2. Навести курсор на поле ""Пароль"";
","1. Над полями ""Логин"" и ""Пароль"" отображается знак об обязательности заполнения ввиде звездочки",
TS-21,ТС-21,Medium,Форма авторизации,Успешная авторизация пользователя с помощью голосового ввода,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Включить функцию голосового ввода; 
2. Продиктовать системе Логин из тестовых данных;
3. Голосовой переход к полю ""Пароль"";
4. Продиктовать системе Пароль из тестовых данных;
5. Голосовое нажатие кнопки ""Sign in"";","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя.",
TS-22,ТС-22,Medium,Форма авторизации,Установка увеличенного шрифта,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Включить функцию ""Увеличенного шрифта"";
2. Установить размер шрифта 16 пт.","1. Шрифт в форме увеличен до 16пт. 
",
TS-23,ТС-23,Low,Форма авторизации,Наименования полей ввода данных не имеют грамматических и орфографических ошибок,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на поле ""Логин""; 
2. Навести курсор на поле ""Пароль"";
","1. Поле с вводом логина пользователя имеет наименование ""Логин""; 
2. Поле с вводом пароля пользователя имеет наименование ""Пароль"";
",
Тестирование интернационализации,,,,,,,,,
TS-24,ТС-24,Low,Форма авторизации,Возможность переключения языка на английский,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на поле ""Логин""; 
2. Переключить язык на английский"";
","1. Логин отображается на английском языке. 

",
